Wavelength(microns),Rplanet/Rstar,source_x_pixel,source_y_pixel,pixel_trace_interpolated
3.259992044,0.1440477375,643,453.5,False
3.261355697,0.1438237279,644,472.1666667,True
3.262719351,0.1435997182,645,490.8333333,True
3.264083004,0.1433757085,646,509.5,False
3.265446657,0.1433997096,647,507.5,False
3.266810311,0.1435167146,648,497.75,True
3.268173964,0.1436337197,649,488,False
3.269537617,0.1436277194,650,488.5,False
3.270901271,0.1435557163,651,494.5,True
3.272264924,0.1434837132,652,500.5,False
3.273628577,0.1436325196,653,488.1,True
3.274992231,0.143781326,654,475.7,True
3.276355884,0.1439301325,655,463.3,True
3.277719537,0.1440789389,656,450.9,True
3.279083191,0.1442277453,657,438.5,False
3.280446844,0.1441557422,658,444.5,False
3.281810497,0.1438937309,659,466.3333333,True
3.28317415,0.1436317196,660,488.1666667,True
3.284537804,0.1433697083,661,510,False
3.285901457,0.1434117101,662,506.5,False
3.28726511,0.1433607079,663,510.75,True
3.288628764,0.1433097057,664,515,False
3.289992417,0.1432857046,665,517,False
3.29135607,0.1433357068,666,512.8333333,True
3.292719724,0.143385709,667,508.6666667,True
3.294083377,0.1434357111,668,504.5,True
3.29544703,0.1434857133,669,500.3333333,True
3.296810684,0.1435357154,670,496.1666667,True
3.298174337,0.1435857176,671,492,False
3.29953799,0.1435437158,672,495.5,False
3.300901644,0.1434417114,673,504,False
3.302265297,0.1434857133,674,500.3333333,True
3.30362895,0.1435297152,675,496.6666667,True
3.304992604,0.1435737171,676,493,False
3.306356257,0.1435917179,677,491.5,False
3.30771991,0.1437057228,678,482,False
3.309083563,0.1437057228,679,482,False
3.310447217,0.1437147232,680,481.25,True
3.31181087,0.1437237236,681,480.5,False
3.313174523,0.1437837261,682,475.5,False
3.314538177,0.1440747387,683,451.25,True
3.31590183,0.1443657513,684,427,True
3.317265483,0.1446567638,685,402.75,True
3.318629137,0.1449477764,686,378.5,False
3.31999279,0.1450797821,687,367.5,False
3.321356443,0.1445277583,688,413.5,True
3.322720097,0.1439757344,689,459.5,False
3.32408375,0.14387373,690,468,False
3.325447403,0.1438677298,691,468.5,False
3.326811057,0.1438617295,692,469,False
3.32817471,0.1438077272,693,473.5,True
3.329538363,0.1437537248,694,478,False
3.330902017,0.1437499065,695,478.3181818,True
3.33226567,0.1437460882,696,478.6363636,True
3.333629323,0.1437422698,697,478.9545455,True
3.334992976,0.1437384515,698,479.2727273,True
3.33635663,0.1437346331,699,479.5909091,True
3.337720283,0.1437308148,700,479.9090909,True
3.339083936,0.1437269964,701,480.2272727,True
3.34044759,0.1437231781,702,480.5454545,True
3.341811243,0.1437193597,703,480.8636364,True
3.343174896,0.1437155414,704,481.1818182,True
3.34453855,0.143711723,705,481.5,False
3.345902203,0.1441017399,706,449,False
3.347265856,0.1439337326,707,463,False
3.34862951,0.143827728,708,471.8333333,True
3.349993163,0.1437217235,709,480.6666667,True
3.351356816,0.1436157189,710,489.5,False
3.35272047,0.1436337197,711,488,False
3.354084123,0.1436217191,712,489,True
3.355447776,0.1436097186,713,490,True
3.356811429,0.1435977181,714,491,True
3.358175083,0.1435857176,715,492,False
3.359538736,0.143525715,716,497,False
3.360902389,0.1439577337,717,461,False
3.362266043,0.1439757344,718,459.5,False
3.363629696,0.1436277194,719,488.5,True
3.364993349,0.1432797044,720,517.5,False
3.366357003,0.1432857046,721,517,False
3.367720656,0.1433967094,722,507.75,True
3.369084309,0.1435077142,723,498.5,True
3.370447963,0.143618719,724,489.25,True
3.371811616,0.1437297238,725,480,False
3.373175269,0.1437297238,726,480,False
3.374538923,0.1437297238,727,480,False
3.375902576,0.1436577207,728,486,False
3.377266229,0.1436097186,729,490,False
3.378629883,0.1435617166,730,494,False
3.379993536,0.1435617166,731,494,False
3.381357189,0.1437087229,732,481.75,True
3.382720842,0.1438557293,733,469.5,False
3.384084496,0.1437162232,734,481.125,True
3.385448149,0.1435767172,735,492.75,True
3.386811802,0.1434372112,736,504.375,True
3.388175456,0.1432977052,737,516,False
3.389539109,0.1433277065,738,513.5,False
3.390902762,0.1433577078,739,511,False
3.392266416,0.1433954237,740,507.8571429,True
3.393630069,0.1434331396,741,504.7142857,True
3.394993722,0.1434708555,742,501.5714286,True
3.396357376,0.1435085714,743,498.4285714,True
3.397721029,0.1435462873,744,495.2857143,True
3.399084682,0.1435840032,745,492.1428571,True
3.400448336,0.1436217191,746,489,False
3.401811989,0.1436337197,747,488,True
3.403175642,0.1436457202,748,487,True
3.404539296,0.1436577207,749,486,True
3.405902949,0.1436697212,750,485,False
3.407266602,0.1437477246,751,478.5,False
3.408630255,0.1439457331,752,462,False
3.409993909,0.1439337326,753,463,False
3.411357562,0.1436667211,754,485.25,True
3.412721215,0.1433997096,755,507.5,False
3.414084869,0.1433697083,756,510,False
3.415448522,0.1434117101,757,506.5,True
3.416812175,0.1434537119,758,503,True
3.418175829,0.1434957137,759,499.5,False
3.419539482,0.1434177103,760,506,False
3.420903135,0.1434177103,761,506,False
3.422266789,0.1434927136,762,499.75,True
3.423630442,0.1435677168,763,493.5,True
3.424994095,0.1436427201,764,487.25,True
3.426357749,0.1437177233,765,481,False
3.427721402,0.1438137274,766,473,False
3.429085055,0.1437597251,767,477.5,False
3.430448709,0.1437097229,768,481.6666667,True
3.431812362,0.1436597208,769,485.8333333,True
3.433176015,0.1436097186,770,490,False
3.434539668,0.1436397199,771,487.5,False
3.435903322,0.1435737171,772,493,True
3.437266975,0.1435077142,773,498.5,True
