iwave,wave,waveMin,waveMax,yval,yerrLow,yerrUpp,wlcLow,wlcUpp,ignore,referenceLink,instrname,reference,bandpass
123,2.051126480102539,2.0410479307174683,2.06120502948761,789.9477238713735,75.0869037106539,73.30122422667475,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
124,2.0715335607528687,2.06120502948761,2.0818620920181274,841.5484354797761,69.69433273723571,71.18769164992176,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
125,2.092190146446228,2.0818620920181274,2.1025182008743286,810.9061671503472,66.18922463093811,67.07173605679215,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
126,2.1133358478546143,2.1025182008743286,2.1241534948349,756.1319710063153,69.20073931138174,68.04090086948601,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
127,2.134476661682129,2.1241534948349,2.144799828529358,717.0718811617764,75.64177058471451,73.39082456404336,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
128,2.155617356300354,2.144799828529358,2.16643488407135,769.1793858668384,68.41304489118227,69.30202348562773,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
129,2.1772552728652954,2.16643488407135,2.1880756616592407,759.8435980140225,79.34573488597835,76.11421700073758,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
130,2.198899984359741,2.1880756616592407,2.2097243070602417,869.5586874723986,85.530892042888,87.42930820316644,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
131,2.221035957336426,2.2097243070602417,2.23234760761261,715.7565159205731,74.13684540434414,74.52637210365513,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
132,2.24341881275177,2.23234760761261,2.25449001789093,702.6155118474387,73.37295879871229,75.99861905731757,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
133,2.2658071517944336,2.25449001789093,2.277124285697937,849.73606167401,87.96529920832613,82.65407227001222,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
134,2.288446068763733,2.277124285697937,2.299767851829529,819.7342741689583,81.70165902491844,76.47535190083822,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
135,2.311342239379883,2.299767851829529,2.322916626930237,790.345252663473,90.71353992814043,88.55582202306128,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
136,2.3344863653182983,2.322916626930237,2.34605610370636,830.6122171520789,85.03148483436128,83.77678713615619,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
137,2.3576343059539795,2.34605610370636,2.369212508201599,811.9998530275648,90.72271181073874,96.19807404766938,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
138,2.3810412883758545,2.369212508201599,2.39287006855011,745.4276472450541,97.57722405088577,94.58115479406734,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
139,2.404954731464386,2.39287006855011,2.417039394378662,1131.4937259333951,98.87747569694203,99.86887847725976,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
140,2.429126799106598,2.417039394378662,2.4412142038345337,629.8244864888054,109.8775240206305,95.69938651229985,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
141,2.453561544418335,2.4412142038345337,2.4659088850021362,661.1248075474268,127.29790796893028,110.16183852841296,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
142,2.4782662391662598,2.4659088850021362,2.4906235933303833,672.9371513205631,103.43638287034054,106.64073108851984,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
143,2.5029860734939575,2.4906235933303833,2.5153485536575317,849.2791067493793,107.8247603230578,102.63807933314345,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
144,2.5277265310287476,2.5153485536575317,2.5401045083999634,669.8626330051752,106.9903363701922,104.55155379384412,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
145,2.552992582321167,2.5401045083999634,2.5658806562423706,777.3514753698382,112.8362305868617,113.46386840999405,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
146,2.5787798166275024,2.5658806562423706,2.5916789770126343,877.6681819875064,126.76949588698851,114.05283706511297,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
147,2.6045985221862793,2.5916789770126343,2.6175180673599243,835.8753895604189,136.64024508215618,132.68766917736377,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
148,2.630457043647766,2.6175180673599243,2.643396019935608,617.8225388892363,125.74941860012751,131.60016172449045,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
149,2.6565970182418823,2.643396019935608,2.6697980165481567,788.6902556700254,121.51538271410168,128.47349778299593,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
150,2.683280646800995,2.6697980165481567,2.696763277053833,907.1168115155137,121.39303117769286,125.45763566199328,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
151,2.710267722606659,2.696763277053833,2.723772168159485,850.8217566331697,140.98953975966052,144.2285814903251,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
152,2.7373064756393433,2.723772168159485,2.7508407831192017,598.5594443386526,125.5262711050557,130.21501951194503,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
153,2.7646567821502686,2.7508407831192017,2.7784727811813354,548.4287594136289,128.3434893326003,149.30601126102457,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
154,2.7923182249069214,2.7784727811813354,2.8061636686325073,746.5377635300022,141.45862372997397,142.12103432074065,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
155,2.812978506088257,2.8061636686325073,2.8197933435440063,979.4407208670692,219.15051891996885,229.75783128007672,0.0,0.0,0,none,NIRISS_SOSS,ExoTEP,uniform
