wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
4.036728823272301980e+00 4.036728823272106581e-03 1.482525454330444739e-03 5.939527813369295989e-05 6.257260970636125514e-05
4.044810362458031605e+00 4.044810362457962327e-03 1.419295290359591077e-03 6.516021374008198206e-05 6.496986478612687139e-05
4.052908080901390875e+00 4.052908080901307386e-03 1.386104881423065593e-03 6.596133698929790409e-05 6.678926322016156918e-05
4.061022010993285747e+00 4.061022010993120546e-03 1.565355630966052238e-03 6.790958318805054826e-05 6.816078044090338847e-05
4.069152185189468085e+00 4.069152185189661708e-03 1.526715671349780342e-03 6.207820215813850693e-05 6.365472419495432751e-05
4.077298636010668886e+00 4.077298636010695532e-03 1.590365133613270456e-03 6.180385860453205423e-05 6.348446561219549126e-05
4.085461396042722626e+00 4.085461396042600057e-03 1.468179559191039188e-03 6.154733846511986227e-05 6.097325455306721725e-05
4.093640497936701372e+00 4.093640497936590350e-03 1.401571379731225957e-03 6.677476319861440834e-05 7.341968126863724373e-05
4.101835974409047125e+00 4.101835974408718499e-03 1.476817413530149637e-03 6.235996181965505270e-05 6.458830359815986237e-05
4.110047858241697050e+00 4.110047858241649976e-03 1.425669437304236077e-03 6.652552244011072197e-05 6.675535718105053142e-05
4.118276182282221143e+00 4.118276182282443187e-03 1.512106654614885992e-03 6.515755336627940719e-05 6.797975160402604060e-05
4.126520979443947468e+00 4.126520979443881743e-03 1.421769911767073111e-03 6.418126431472408004e-05 6.517300014543076718e-05
4.134782282706098044e+00 4.134782282706250811e-03 1.354185411691203851e-03 6.991136251417289773e-05 7.380019389631498376e-05
4.143060125113917636e+00 4.143060125113784409e-03 1.455139373236291308e-03 8.045903772008009415e-05 8.510488875912833502e-05
4.151354539778809638e+00 4.151354539778662200e-03 1.372537006158303530e-03 6.911475120417356194e-05 7.088676748883512466e-05
4.159665559878467533e+00 4.159665559878344965e-03 1.448335307864975947e-03 6.688395754088142760e-05 6.776944352161848751e-05
4.167993218657002785e+00 4.167993218656906862e-03 1.411326049639134673e-03 6.427342824247315263e-05 6.615824842966466996e-05
4.176337549425084283e+00 4.176337549425035434e-03 1.536241068051048993e-03 6.524653861298658692e-05 6.612309765620701791e-05
4.184698585560068906e+00 4.184698585560031603e-03 1.473901090293026428e-03 6.657522166651693449e-05 6.796243451703281213e-05
4.193076360506134748e+00 4.193076360505809674e-03 1.509744581538332610e-03 7.097746593297462475e-05 7.366906625488828318e-05
4.201470907774415231e+00 4.201470907774229602e-03 1.522413469227505397e-03 6.964289613977184008e-05 7.085355461947020345e-05
4.209882260943132337e+00 4.209882260942876542e-03 1.399396791398316688e-03 6.939390841394102536e-05 7.361536058194591303e-05
4.218310453657732495e+00 4.218310453657725390e-03 1.487057462862207075e-03 6.590901645712423285e-05 7.079923045797946609e-05
4.226755519631021585e+00 4.226755519630920332e-03 1.535891190109411669e-03 6.736465223273395506e-05 6.928685384896786229e-05
4.235217492643295500e+00 4.235217492643439385e-03 1.563157643048259304e-03 6.953977857083013415e-05 7.071693918178372678e-05
4.243696406542481370e+00 4.243696406542429855e-03 1.519624683360738891e-03 6.505540204787573812e-05 6.679794478974741779e-05
4.252192295244269005e+00 4.252192295244316966e-03 1.436024078113432544e-03 6.980869441107931763e-05 7.025102671940333047e-05
4.260705192732245905e+00 4.260705192732583413e-03 1.428346473850785475e-03 7.623786733947070726e-05 7.365669939201062878e-05
4.269235133058035814e+00 4.269235133058213449e-03 1.531015873207593843e-03 7.296437219558641848e-05 7.563268114778796383e-05
4.277782150341435496e+00 4.277782150341469247e-03 1.450394491469079008e-03 7.016945172999748226e-05 7.309309082608414791e-05
4.286346278770547968e+00 4.286346278770558627e-03 1.600252756849994060e-03 7.039233992735410036e-05 7.260665704848234272e-05
4.294927552601921050e+00 4.294927552602079146e-03 1.419759495650418316e-03 8.881333854673843190e-05 9.133705666027690348e-05
4.303526006160683259e+00 4.303526006160574013e-03 1.430385117773342457e-03 7.104384889482146567e-05 7.011491977190092203e-05
4.312141673840685030e+00 4.312141673840752532e-03 1.456484790770632863e-03 7.103804251628195135e-05 7.405479873930376222e-05
4.320774590104630164e+00 4.320774590104381474e-03 1.498099187184616246e-03 7.233646971775074515e-05 7.336815078504255292e-05
4.329424789484217939e+00 4.329424789483837799e-03 1.503078259734780915e-03 7.934109684811969129e-05 8.350069873957798115e-05
4.338092306580282553e+00 4.338092306580332291e-03 1.615758688280497174e-03 7.787830108111719319e-05 7.944276400390807376e-05
4.346777176062925463e+00 4.346777176063021386e-03 1.370425082075825939e-03 6.874971102079057296e-05 7.017325971741166033e-05
4.355479432671660156e+00 4.355479432671671702e-03 1.531711789906656631e-03 7.407660793564400546e-05 7.704984775436688285e-05
4.364199111215547155e+00 4.364199111215327775e-03 1.376300684186322404e-03 7.263524355140199898e-05 7.397004164568109674e-05
4.372936246573336128e+00 4.372936246573644326e-03 1.626422561423809766e-03 8.331476733793819422e-05 8.569013729675930354e-05
4.381690873693603550e+00 4.381690873693777633e-03 1.517193154221583651e-03 7.528487846634277923e-05 7.792826292848083008e-05
